"Currency","Symbol","Digital Code","Class","Name","Country","Decimal Places","Decimal Sign","Grouping Sign","Symbol Separator","Symbol Ahead","Convertion"
"AED","د.إ","784","Dirham","UAE Dirham","UAE","2","\u066B","\u066C","\u00A0","False","٠١٢٣٤٥٦٧٨٩-"
"AFN","؋","971","Afghani","Afghani","Afghanistan","2","\u066B","\u066C","\u00A0","True","۰۱۲۳۴۵۶۷۸۹-"
"ALL","L","008","Lek","Lek","Albania","2",",","\u202F","\u00A0","False",""
"AMD","Դ","051","Dram","Armenian Dram","Armenia","2",",","\u202F","\u00A0","False",""
"AOA","Kz","973","Kwanza","Kwanza","Angola","2",",","\u202F","\u00A0","False",""
"ARS","$","032","Peso","Argentine Peso","Argentina","2",",",".","\u00A0","True",""
"AUD","$","036","Dollar","Australian Dollar","Australia","2",".",",","","True",""
"AUD","$","036","Dollar","Australian Dollar","Kiribati","2",".",",","","True",""
"AUD","$","036","Dollar","Australian Dollar","Coconut Islands","2",".",",","","True",""
"AUD","$","036","Dollar","Australian Dollar","Nauru","2",".",",","","True",""
"AUD","$","036","Dollar","Australian Dollar","Tuvalu","2",".",",","","True",""
"AWG","ƒ","533","Florin","Aruban Florin","Aruba","2",".",",","","True",""
"AZN","₼","944","Manat","Azerbaijanian Manat","Azerbaijan","2",",",".","\u00A0","False",""
"BAM","КМ","977","Marka","Konvertibilna Marka","Bosnia and Herzegovina","2",".",",","\u00A0","False",""
"BBD","$","052","Dollar","Barbados Dollar","Barbados","2",".",",","","True",""
"BDT","৳","050","Taka","Taka","Bangladesh","2",".",",","","False","০১২৩৪৫৬৭৮৯-,."
"BGN","лв","975","Lev","Bulgarian Lev","Bulgaria","2",",","","\u00A0","False",""
"BHD","ب.د","048","Dinar","Bahraini Dinar","Bahrain","3","\u066B","\u066C","\u00A0","False","٠١٢٣٤٥٦٧٨٩-"
"BIF","₣","108","Franc","Burundi Franc","Burundi","0",",","\u202F","\u00A0","False",""
"BMD","$","060","Dollar","Bermudian Dollar","Bermuda","2",".",",","","True",""
"BND","$","096","Dollar","Brunei Dollar","Brunei","2",",",".","\u00A0","True",""
"BND","$","096","Dollar","Brunei Dollar","Singapore","2",",",".","\u00A0","True",""
"BOB","Bs.","068","Boliviano","Boliviano","Bolivia","2",",",".","\u00A0","True",""
"BRL","R$","986","Real","Brazilian Real","Brazil","2",",",".","\u00A0","True",""
"BSD","$","044","Dollar","Bahamian Dollar","Bahamas","2",".",",","","True",""
"BTN","Nu.","064","Ngultrum","Ngultrum","Bhutan","2",".",",","\u00A0","True","༠༡༢༣༤༥༦༧༨༩-"
"BWP","P","072","Pula","Pula","Botswana","2",".",",","\u00A0","True",""
"BYN","Br","933","Ruble","Belarusian Ruble","Belarus","2",",","\u202F","\u00A0","False",""
"BZD","$","084","Dollar","Belize Dollar","Belize","2",".",",","","True",""
"CAD","$","124","Dollar","Canadian Dollar EN","Canada","2",".",",","","True",""
"CAD","$","124","Dollar","Canadian Dollar FR","Canada","2",",","\u202F","\u00A0","False",""
"CDF","₣","976","Franc","Congolese Franc","Congo (Kinshasa)","2",",","\u202F","\u00A0","False",""
"CHF","₣","756","Franc","Swiss Franc","Lichtenstein","2",".","'","\u00A0","True",""
"CHF","₣","756","Franc","Swiss Franc","Switzerland","2",".","'","\u00A0","True",""
"CLP","$","152","Peso","Chilean Peso","Chile","0",",",".","","True",""
"CNY","¥","156","Yuan","Yuan","China","2",".",",","","True",""
"COP","$","170","Peso","Colombian Peso","Colombia","2",",",".","\u00A0","True",""
"CRC","₡","188","Colon","Costa Rican Colon","Costa Rica","2",",","\u202F","","True",""
"CUP","$","192","Peso","Cuban Peso","Cuba","2",".",",","","True",""
"CVE","","132","Escudo","Cape Verde Escudo","Cape Verde","2","$","\u202F","","False",""
"CZK","Kč","203","Koruna","Czech Koruna","Czech Republic","2",",","\u202F","\u00A0","False",""
"DJF","₣","262","Franc","Djibouti Franc","Djibouti","0",",","\u202F","\u00A0","False",""
"DKK","kr","208","Krone","Danish Krone","Denmark","2",",",".","\u00A0","False",""
"DOP","$","214","Peso","Dominican Peso","Dominican Republic","2",".",",","","True",""
"DZD","د.ج","012","Dinar","Algerian Dinar","Algeria","2",",",".","\u00A0","False",""
"EGP","ج.م","818","Pound","Egyptian Pound","Egypt","2","\u066B","\u066C","\u00A0","True","٠١٢٣٤٥٦٧٨٩-"
"ERN","Nfk","232","Nakfa","Nakfa","Eritrea","2",".",",","\u00A0","True",""
"ETB","ብር","230","Birr","Ethiopian Birr","Ethiopia","2",".",",","\u00A0","True",""
"EUR","€","978","Euro","Euro","","2",",",".","\u00A0","False",""
"EUR","€","978","Euro","Euro","Akrotiri and Dhekelia","2",",",".","\u00A0","False",""
"EUR","€","978","Euro","EuroAD","Andorra","2",",",".","\u00A0","False",""
"EUR","€","978","Euro","EuroAT","Austria","2",",",".","\u00A0","True",""
"EUR","€","978","Euro","EuroBE","Belgium","2",",",".","\u00A0","True",""
"EUR","€","978","Euro","EuroCY","Cyprus","2",",",".","\u00A0","False",""
"EUR","€","978","Euro","EuroEE","Estonia","2",",","\u202F","\u00A0","False",""
"EUR","€","978","Euro","EuroFI","Finland","2",",","\u202F","\u00A0","False",""
"EUR","€","978","Euro","EuroFR","France","2",",","\u202F","\u00A0","False",""
"EUR","€","978","Euro","EuroDE","Germany","2",",",".","\u00A0","False",""
"EUR","€","978","Euro","EuroGR","Greece","2",",",".","\u00A0","False",""
"EUR","€","978","Euro","EuroIE","Ireland","2",".",",","","True",""
"EUR","€","978","Euro","EuroIT","Italy","2",",",".","\u00A0","False",""
"EUR","€","978","Euro","EuroXK","Kosovo","2",",","\u202F","\u00A0","False",""
"EUR","€","978","Euro","EuroLV","Latvia","2",",","\u202F","\u00A0","False",""
"EUR","€","978","Euro","EuroLT","Lithuania","2",",","\u202F","\u00A0","False",""
"EUR","€","978","Euro","EuroLU","Luxembourg","2",",",".","\u00A0","False",""
"EUR","€","978","Euro","EuroMT","Malta","2",".",",","","True",""
"EUR","€","978","Euro","EuroMC","Monaco","2",",","\u202F","\u00A0","False",""
"EUR","€","978","Euro","EuroME","Montenegro","2",",",".","\u00A0","False",""
"EUR","€","978","Euro","EuroNL","Netherlands","2",",",".","\u00A0","True",""
"EUR","€","978","Euro","EuroPT","Portugal","2",",",".","\u00A0","True",""
"EUR","€","978","Euro","EuroSM","San-Marino","2",",",".","\u00A0","False",""
"EUR","€","978","Euro","EuroSK","Slovakia","2",",","\u202F","\u00A0","False",""
"EUR","€","978","Euro","EuroSI","Slovenia","2",",",".","\u00A0","False",""
"EUR","€","978","Euro","EuroES","Spain","2",",",".","\u00A0","False",""
"EUR","€","978","Euro","EuroVA","Vatican","2",".",",","","True",""
"FJD","$","242","Dollar","Fiji Dollar","Fiji","2",".",",","","True",""
"FKP","£","238","Pound","Falkland Islands Pound","Falkland Islands","2",".",",","","True",""
"GBP","£","826","Pound","Pound Sterling","Alderney","2",".",",","","True",""
"GBP","£","826","Pound","Pound Sterling","British Indian Ocean Territory","2",".",",","","True",""
"GBP","£","826","Pound","Pound Sterling","Great Britain","2",".",",","","True",""
"GBP","£","826","Pound","Pound Sterling","Isle of Maine","2",".",",","","True",""
"GEL","ლ","981","Lari","Lari","Georgia","2",",","\u202F","\u00A0","False",""
"GEL","ლ","981","Lari","Lari","South Ossetia","2",",","\u202F","\u00A0","False",""
"GHS","₵","936","Cedi","Cedi","Ghana","2",".",",","","True",""
"GIP","£","292","Pound","Gibraltar Pound","Gibraltar","2",".",",","","True",""
"GMD","D","270","Dalasi","Dalasi","Gambia","2",".",",","\u00A0","True",""
"GNF","₣","324","Franc","Guinea Franc","Guinea","0",",","\u202F","\u00A0","False",""
"GTQ","Q","320","Quetzal","Quetzal","Guatemala","2",".",",","\u00A0","True",""
"GYD","$","328","Dollar","Guyana Dollar","Guyana","2",".",",","","True",""
"HKD","$","344","Dollar","Hong Kong Dollar","Hong Kong","2",".",",","","True",""
"HNL","L","340","Lempira","Lempira","Honduras","2",".",",","\u00A0","True",""
